City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Los Llanos De Aridane,ES,69.55,few clouds,28.6585,-17.9182,Valle Aridane
1,Coahuayana,MX,89.47,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
2,Rikitea,PF,69.21,clear sky,-23.1203,-134.9692,People ThankYou
3,Hefei,CN,77.02,clear sky,31.8639,117.2808,Jinhuan Hotel
4,Buala,SB,79.81,light rain,-8.145,159.5921,Maringe Lagoon Lodge
6,Nikolskoye,RU,60.69,scattered clouds,59.7035,30.7861,Tourist House - Sablino
7,Port Blair,IN,82.06,light rain,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
10,Albany,US,84.09,broken clouds,42.6001,-73.9662,
11,Cidreira,BR,63.59,clear sky,-30.1811,-50.2056,Hotel Castelo
14,Kapaa,US,82.38,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Lompoc,US,89.69,broken clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
18,Thompson,CA,71.76,broken clouds,55.7435,-97.8558,Burntwood Hotel
20,Tambopata,PE,89.49,clear sky,-12.7333,-69.1833,
22,Thunder Bay,CA,88.29,smoke,48.4001,-89.3168,Victoria Inn Hotel and Convention Centre
23,Bardiyah,LY,78.15,clear sky,31.7561,25.0865,بورتو بردية
24,Atuona,PF,78.64,scattered clouds,-9.8,-139.0333,Villa Enata
27,Avarua,CK,75.25,few clouds,-21.2078,-159.775,Paradise Inn
28,Padilla,CO,72.97,overcast clouds,3.2204,-76.3139,La Granadina
29,Vilhena,BR,89.82,few clouds,-12.7406,-60.1458,Hotel Mirage
31,Hilo,US,81.63,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
32,Bengkulu,ID,75.06,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
33,Cacaopera,SV,88.48,broken clouds,13.7667,-88.0833,Cancha de club deportivo Rosenborg
36,Oranjestad,AW,89.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
39,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
41,Bayan,CN,70.79,moderate rain,46.0833,127.4,Wanhao Inn
