,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,91,20,16.11,few clouds
1,Coahuayana,MX,18.7333,-103.6833,89.47,62,37,6.04,scattered clouds
2,Rikitea,PF,-23.1203,-134.9692,69.21,54,0,0.89,clear sky
3,Hefei,CN,31.8639,117.2808,77.02,94,0,4.47,clear sky
4,Buala,SB,-8.145,159.5921,79.81,84,88,8.79,light rain
5,Esperance,AU,-33.8667,121.9,48.04,80,1,17.9,clear sky
6,Nikolskoye,RU,59.7035,30.7861,60.69,67,31,3.42,scattered clouds
7,Port Blair,IN,11.6667,92.75,82.06,84,100,20.13,light rain
8,Ushuaia,AR,-54.8,-68.3,38.86,81,75,1.14,broken clouds
9,Saskylakh,RU,71.9167,114.0833,57.42,55,100,6.46,overcast clouds
10,Albany,US,42.6001,-73.9662,84.09,44,74,1.99,broken clouds
11,Cidreira,BR,-30.1811,-50.2056,63.59,65,0,5.57,clear sky
12,Andreapol,RU,56.6513,32.2664,54.14,67,34,1.95,scattered clouds
13,Barrow,US,71.2906,-156.7887,42.82,87,90,0.0,light rain
14,Kapaa,US,22.0752,-159.319,82.38,80,75,5.99,light rain
15,Sorland,NO,67.667,12.6934,52.25,95,100,15.77,overcast clouds
16,Lompoc,US,34.6391,-120.4579,89.69,69,75,8.01,broken clouds
17,Bredasdorp,ZA,-34.5322,20.0403,45.72,93,19,4.61,few clouds
18,Thompson,CA,55.7435,-97.8558,71.76,56,75,12.66,broken clouds
19,Lebu,CL,-37.6167,-73.65,52.75,74,98,14.67,light rain
20,Tambopata,PE,-12.7333,-69.1833,89.49,48,0,5.75,clear sky
21,Hermanus,ZA,-34.4187,19.2345,53.91,57,14,4.81,few clouds
22,Thunder Bay,CA,48.4001,-89.3168,88.29,38,40,12.66,smoke
23,Bardiyah,LY,31.7561,25.0865,78.15,67,0,14.81,clear sky
24,Atuona,PF,-9.8,-139.0333,78.64,68,50,16.26,scattered clouds
25,Saldanha,ZA,-33.0117,17.9442,50.05,66,8,11.43,clear sky
26,Chokurdakh,RU,70.6333,147.9167,41.5,75,59,15.55,broken clouds
27,Avarua,CK,-21.2078,-159.775,75.25,73,20,6.91,few clouds
28,Padilla,CO,3.2204,-76.3139,72.97,57,100,2.28,overcast clouds
29,Vilhena,BR,-12.7406,-60.1458,89.82,33,20,10.36,few clouds
30,Christchurch,NZ,-43.5333,172.6333,43.92,87,4,4.0,clear sky
31,Hilo,US,19.7297,-155.09,81.63,80,75,0.0,light rain
32,Bengkulu,ID,-3.8004,102.2655,75.06,88,9,4.21,clear sky
33,Cacaopera,SV,13.7667,-88.0833,88.48,39,79,4.34,broken clouds
34,Airai,TL,-8.9266,125.4092,55.35,40,6,2.93,clear sky
35,New Norfolk,AU,-42.7826,147.0587,45.91,69,91,3.0,light rain
36,Oranjestad,AW,12.524,-70.027,89.55,62,20,19.57,few clouds
37,Stephenville,US,32.2207,-98.2023,95.94,37,1,8.05,clear sky
38,Busselton,AU,-33.65,115.3333,56.08,73,97,15.86,overcast clouds
