City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nuevitas,CU,2021-07-21 17:57:42,21.5453,-77.2644,90.3,58,6,10.29
1,Kapaa,US,2021-07-21 17:57:43,22.0752,-159.319,78.78,83,89,4.0
2,Busselton,AU,2021-07-21 17:57:43,-33.65,115.3333,52.05,82,85,7.65
3,Novokizhinginsk,RU,2021-07-21 17:57:43,51.6115,109.5917,57.56,99,100,2.73
4,Bay Roberts,CA,2021-07-21 17:56:44,47.5999,-53.2648,59.02,95,100,8.01
5,Kahului,US,2021-07-21 17:54:20,20.8947,-156.47,74.97,89,97,11.34
6,Hilo,US,2021-07-21 17:57:44,19.7297,-155.09,80.28,94,90,8.05
7,Yellowknife,CA,2021-07-21 17:57:44,62.456,-114.3525,68.29,77,75,3.0
8,Wajima,JP,2021-07-21 17:57:45,37.4,136.9,77.47,89,2,6.64
9,Camana,PE,2021-07-21 17:57:45,-16.6228,-72.7111,66.25,69,16,6.58
10,Logan,US,2021-07-21 17:52:53,41.7355,-111.8344,90.77,32,3,11.01
11,Bluff,NZ,2021-07-21 17:57:45,-46.6,168.3333,43.81,73,100,13.31
12,Ushuaia,AR,2021-07-21 17:57:46,-54.8,-68.3,35.22,80,20,0.0
13,Dingle,PH,2021-07-21 17:57:46,10.9995,122.6711,78.57,79,99,11.77
14,Atuona,PF,2021-07-21 17:57:46,-9.8,-139.0333,77.7,66,92,19.42
15,Vaini,TO,2021-07-21 17:56:43,-21.2,-175.2,73.56,88,20,6.91
16,Lebu,CL,2021-07-21 17:57:47,-37.6167,-73.65,55.92,81,100,6.29
17,Bardiyah,LY,2021-07-21 17:57:47,31.7561,25.0865,79.32,71,0,17.9
18,Georgetown,MY,2021-07-21 17:57:48,5.4112,100.3354,84.88,86,20,0.0
19,Albany,US,2021-07-21 17:54:57,42.6001,-73.9662,77.63,64,35,9.75
20,Port Blair,IN,2021-07-21 17:57:48,11.6667,92.75,81.77,85,100,22.17
21,Hualmay,PE,2021-07-21 17:57:48,-11.0964,-77.6139,68.94,68,20,10.47
22,Klaksvik,FO,2021-07-21 17:56:58,62.2266,-6.589,56.32,88,7,17.45
23,Novo Aripuana,BR,2021-07-21 17:57:49,-5.1206,-60.3797,97.29,28,9,3.74
